Nome,Classe,A1,A2,A3,Ini,Agi,Var,Qarm,Pfog,Fusel,RP,M,C,P,Ticks,Comb,TEC,tipo,Raca
Baldur,De,De,-,-,63,20,35,7,8,75,65,4.250,6.250,0,16,165,4,Invisivel,Rakshasa
Tyr,Cr,Na,Cr,-,69,18,25,13,25,160,80,17.000,12.500,0,20,360,4,Invisivel,Rakshasa
Odin,Na,Co,Fr,-,79,7,36,125,4,325,90,42.250,35.000,0,24,750,5,Invisivel,Rakshasa
Caillech,Ca,Ca,-,-,25,33,35,3,2,7,25,800,500,0,4,10,2,Assimiladora,c-Mech
Cerridwen,Ca,Fr,Co,-,27,30,30,3,5,7,25,500,800,0,4,10,2,Assimiladora,c-Mech
Gwynn,Co,Co,Ca,-,43,25,30,5,6,25,50,1.750,2.500,0,8,75,3,Assimiladora,c-Mech
Badb,Co,De,Fr,-,45,20,22,6,6,25,55,2.500,1.750,0,8,66,3,Assimiladora,c-Mech
Smertrios,Co,Ro,-,-,99,18,1,1,1,20,40,1.800,1.100,0,8,60,3,Roider,c-Mech
Lugh,Fr,Co,Ca,-,59,25,30,5,5,35,55,2.750,2.250,0,12,40,4,Assimiladora,c-Mech
Morrigan,Fr,Fr,-,-,61,25,34,9,6,52,65,4.000,4.000,0,12,95,4,Assimiladora,c-Mech
Fea,De,Cr,De,-,67,22,17,6,16,65,70,8.500,7.000,0,16,140,4,Assimiladora,c-Mech
Macha,Cr,Ro,-,-,99,10,1,3,1,130,75,12.500,14.000,0,20,500,4,Roider,c-Mech
Scathach,Cr,Cr,-,-,77,12,23,6,24,200,85,11.000,13.000,0,20,420,4,Assimiladora,c-Mech
Danu,Na,Na,-,-,89,6,10,12,38,375,95,25.500,24.500,0,24,700,5,Assimiladora,c-Mech
Cernunnos,Na,Fr,De,-,87,5,40,45,8,355,90,30.000,20.000,0,24,800,5,Assimiladora,c-Mech
Formiga,Ca,Co,Ca,-,13,25,32,2,1,1,5,200,200,0,4,6,2,Inseto,Insecta
Abelha,Ca,Cr,Na,-,23,30,20,1,5,4,10,200,360,0,4,15,2,Inseto,Insecta
Vespa,Ca,De,-,-,21,38,28,2,4,2,15,400,400,0,4,6,2,Inseto,Insecta
Mosca,Co,Fr,-,-,35,27,35,5,4,16,40,1.100,1.400,0,8,30,3,Inseto,Insecta
Besouro,Fr,Ro,-,-,99,25,1,1,1,15,50,1.200,1.500,0,12,60,4,Roider,Insecta
Mosquito,Fr,De,-,-,55,26,30,5,6,30,60,2.000,1.750,0,12,80,4,Inseto,Insecta
Aranha,Fr,Ca,Co,-,51,25,40,8,4,30,60,2.500,4.500,0,12,100,4,Inseto,Insecta
Louva-a-Deus,Cr,Ro,-,-,99,13,1,3,1,125,70,16.000,11.500,0,20,400,5,Roider,Insecta
Escorpi�o,Cr,De,-,-,71,13,15,15,20,160,75,10.000,13.000,0,20,350,5,Inseto,Insecta
Cupim,Na,Na,Cr,-,81,12,12,15,25,220,85,12.000,18.000,0,24,750,5,Inseto,Insecta
Gafanhoto,Na,Fr,Co,-,47,12,32,40,6,240,90,15.000,20.000,0,24,650,5,Inseto,Insecta
Rainha,Na,-,-,-,91,7,0,0,0,300,90,12.000,20.000,0,24,1000,2,Inseto,Insecta
